"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4,C3";"C_0603_1608Metric";2;"0.1u";;;
2;"H2,H1";"MountingHole_2.2mm_M2";2;"MountingHole";;;
3;"R1,R2,R4";"R_0603_1608Metric";3;"10k/5%";;;
4;"C2,C6,C7";"C_1206_3216Metric";3;"22uF";;;
5;"J1";"IR_Breakout";1;"IR_Breakout";;;
6;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
7;"R3";"R_0603_1608Metric";1;"330R";;;
8;"C5";"CP_Radial_D8.0mm_P5.00mm";1;"1000uF";;;
9;"SW1";"TS-1187A-B-A-B";1;"TS-1187A-B-A-B";;;
10;"U1";"ESP32-WROOM-32E";1;"ESP32-WROOM-32E";;;
11;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
12;"J2";"INMP441_Breakout";1;"INMP441_Breakout";;;
13;"J6";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
14;"Q1";"SOT-23";1;"2N7002";;;
15;"C1";"C_0805_2012Metric";1;"47uF";;;
16;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
